,title,artist,url,participant,playlist_type
14,Linus And Lucy,Vince Guaraldi,youtube.com/watch?v=Vs8hgC5Au_8&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=15,JMCG,energizing
15,Sleigh Ride,Pentatonix,youtube.com/watch?v=R4ywN3EeSYc&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=16,JMCG,energizing
16,Angels We Have Heard on High,The Piano Guys,youtube.com/watch?v=D_A42i7IkFE&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=17,JMCG,energizing
17,A Holly Jolly Christmas,Burl Ives,youtube.com/watch?v=P_dI6fVZwd0&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=18,JMCG,energizing
18,Classical - Richard Wagner - Ride of the Valkyries,ClaasStoertebeker,youtube.com/watch?v=XRU1AJsXN1g&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=19,JMCG,energizing
19,1812 Overture: Grand Finale,Pyotr Ilyich Tchaikovsky,youtube.com/watch?v=SHWFwJ23JaU&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=20,JMCG,energizing
20,The Nutcracker March,Pyotr Ilyich Tchaikovsky,youtube.com/watch?v=aeUrBUI-8qs&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=21,JMCG,energizing
21,Finale (William Tell Overture),Hans Zimmer,youtube.com/watch?v=AnNKsk2a0fI&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=22,JMCG,energizing
22,Carol of the Bells,John Williams,youtube.com/watch?v=5zSfb5vmkPc&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=23,JMCG,energizing
23,Holiday Flight,John Williams,youtube.com/watch?v=5TN4xmcD17k&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=24,JMCG,energizing
24,All Alone on Christmas,Darlene Love,youtube.com/watch?v=laN1H0qXOBU&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=25,JMCG,energizing
25,Setting the Trap (Instrumental),John Williams,youtube.com/watch?v=1yH4AwTIsao&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=26,JMCG,energizing
26,"Merry Christmas, Merry Christmas (from the movie Home Alone 2)",Boston Pops,youtube.com/watch?v=Wm4hmAu-iVo&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=27,JMCG,energizing
27,The Polar Express,Tom Hanks,youtube.com/watch?v=B6M9TNqUOcc&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=28,JMCG,energizing
28,Spirit of the Season,Alan Silvestri,youtube.com/watch?v=cZ2ZJ2VGlac&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=29,JMCG,energizing
0,Little Drummer Boy,Pentatonix,youtube.com/watch?v=KYiUSalSjS0&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=1,JMCG,relaxing
1,Carol of the Bells,Pentatonix,youtube.com/watch?v=-mJhsBa-HAU&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=2,JMCG,relaxing
2,"The Nutcracker Ballet Suite: ""Waltz of the Flowers""",Royal Philharmonic Orchestra,youtube.com/watch?v=xoY8OoBWSZ4&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=3,JMCG,relaxing
3,"The Nutcracker Ballet Suite: ""Dance of the Sugar Plum Fairy""",Royal Philharmonic Orchestra,youtube.com/watch?v=wOkyXyVQxk4&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=4,JMCG,relaxing
4,"The Four Seasons, Op. 8 - Concerto No. 1 in E Major, RV 269, “Spring” (La Primavera) : III....",Various Artists,youtube.com/watch?v=XM-17Rl_0yQ&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=5,JMCG,relaxing
5,"The Four Seasons, Op. 8 - Concerto No. 4 in F Minor, RV 297: “Winter” (L’Inverno) : II. Largo",Various Artists,youtube.com/watch?v=c_THJmXf8XQ&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=6,JMCG,relaxing
6,Dance of the Sugar Plum Fairy,Pentatonix,youtube.com/watch?v=CCFXtSL18Ws&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=7,JMCG,relaxing
7,Christmas Time Is Here (Vocal),Vince Guaraldi,youtube.com/watch?v=grMwyDNCpyo&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=8,JMCG,relaxing
8,Greensleeves,Vince Guaraldi,youtube.com/watch?v=rosev5YX5Gk&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=9,JMCG,relaxing
9,Fur Elise,Vince Guaraldi,youtube.com/watch?v=XFYbjkvjlxs&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=10,JMCG,relaxing
10,Imagine,Pentatonix,youtube.com/watch?v=-ZoTHHOzQHQ&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=11,JMCG,relaxing
